species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ
Mm Hs	DES	Myoblasts	CMD1I|CSM1|CSM2	0.019	desmin	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	CDH15	Myoblasts	CDH3	0.003	cadherin 15	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	CAPN1	Myoblasts	muCANP|muCL|CANPL1	0.016	calpain 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MYF6	Myoblasts	MRF4|bHLHc4	0.0	myogenic factor 6	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	MYF5	Myoblasts	bHLHc2	0.001	myogenic factor 5	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	MYOD1	Myoblasts	MYOD|bHLHc1|MYF3	0.002	myogenic differentiation 1	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	PAX3	Myoblasts	HUP2|WS1	0.002	paired box 3	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	PAX7	Myoblasts	Hup1	0.0	paired box 7	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	TBX3	Myoblasts	TBX3-ISO|XHL|UMS	0.019	T-box 3	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	TTN	Myoblasts	CMPD4|FLJ32040|TMD|CMH9|LGMD2J|MYLK5|CMD1G	0.007	titin	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	MUSK	Myoblasts	NA	0.001	muscle associated receptor tyrosine kinase	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	FLNC	Myoblasts	ABPL|FLN2	0.01	filamin C	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	FGFR4	Myoblasts	JTK2|CD334	0.003	fibroblast growth factor receptor 4	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	STK40	Myoblasts	MGC4796|SgK495	0.015	serine/threonine kinase 40	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	CXCL1	Myoblasts	SCYB1|GROa|MGSA-a|NAP-3|MGSA|GRO1|FSP	0.03	C-X-C motif chemokine ligand 1	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	TNFRSF12A	Myoblasts	FN14|TweakR|CD266	0.073	TNF receptor superfamily member 12A	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	ARL4D	Myoblasts	ARF4L	0.013	ADP ribosylation factor like GTPase 4D	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	CCL2	Myoblasts	MCP1|MCP-1|MCAF|SMC-CF|GDCF-2|HC11|MGC9434|SCYA2	0.033	C-C motif chemokine ligand 2	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	MYD88	Myoblasts	NA	0.009	myeloid differentiation primary response 88	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	BRAF	Myoblasts	BRAF1	0.018	B-Raf proto-oncogene, serine/threonine kinase	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	EGFR	Myoblasts	ERBB1|ERBB	0.015	epidermal growth factor receptor	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	ZBTB16	Myoblasts	PLZF|ZNF145	0.006	zinc finger and BTB domain containing 16	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	SIX1	Myoblasts	DFNA23	0.014	SIX homeobox 1	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	SFN	Myoepithelial cells	YWHAS	0.042	stratifin	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	ACTA2	Myoepithelial cells	ACTSA	0.034	actin, alpha 2, smooth muscle, aorta	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	CNN1	Myoepithelial cells	Sm-Calp	0.014	calponin 1	protein-coding gene	NA	Mesoderm	Smooth muscle
Hs	CA3	Myoepithelial cells	Car3|CAIII	0.0	carbonic anhydrase 3	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	MME	Myoepithelial cells	CALLA|CD10	0.013	membrane metalloendopeptidase	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	CD109	Myoepithelial cells	FLJ38569|DKFZp762L1111|CPAMD7	0.007	CD109 molecule	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	KRT14	Myoepithelial cells	EBS3|EBS4	0.018	keratin 14	protein-coding gene	1	Mesoderm	Smooth muscle
Mm Hs	KRT17	Myoepithelial cells	PCHC1	0.018	keratin 17	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	EGFR	Myoepithelial cells	ERBB1|ERBB	0.015	epidermal growth factor receptor	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	SERPINB5	Myoepithelial cells	maspin|PI5	0.014	serpin family B member 5	protein-coding gene	NA	Mesoderm	Smooth muscle
Hs	TP63	Myoepithelial cells	SHFM4|EEC3|p63|p73L|OFC8|KET|p73H|p53CP|TP73L|TP53L|TP53CP	0.001	tumor protein p63	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	NGFR	Myoepithelial cells	TNFRSF16|CD271|p75NTR	0.007	nerve growth factor receptor	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	CDH3	Myoepithelial cells	CDHP|PCAD	0.005	cadherin 3	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	MYH11	Myoepithelial cells	SMMHC|SMHC	0.015	myosin heavy chain 11	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	FST	Myoepithelial cells	NA	0.019	follistatin	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	ACTG2	Myoepithelial cells	ACTSG|ACTL3|ACTA3	0.013	actin, gamma 2, smooth muscle, enteric	protein-coding gene	1	Mesoderm	Smooth muscle
Mm Hs	MDFI	Myoepithelial cells	I-mfa	0.015	MyoD family inhibitor	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	PXN	Myoepithelial cells	NA	0.016	paxillin	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	LAMB3	Myoepithelial cells	nicein-125kDa|kalinin-140kDa|BM600-125kDa|LAMNB1	0.013	laminin subunit beta 3	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	LAMC2	Myoepithelial cells	nicein-100kDa|kalinin-105kDa|BM600-100kDa|EBR2|LAMB2T|LAMNB2|EBR2A	0.01	laminin subunit gamma 2	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	GRWD1	Myoepithelial cells	WDR28|GRWD|RRB1	0.013	glutamate rich WD repeat containing 1	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	SPHK1	Myoepithelial cells	SPHK	0.018	sphingosine kinase 1	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	SMIM3	Myoepithelial cells	MSTP150|NID67|C5orf62	0.015	small integral membrane protein 3	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	KRT5	Myoepithelial cells	KRT5A|EBS2	0.017	keratin 5	protein-coding gene	1	Mesoderm	Smooth muscle
Mm Hs	MYLK	Myoepithelial cells	smMLCK|MYLK1|MLCK1	0.045	myosin light chain kinase	protein-coding gene	1	Mesoderm	Smooth muscle
Mm Hs	CDH11	Myofibroblasts	CAD11	0.036	cadherin 11	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	DES	Myofibroblasts	CMD1I|CSM1|CSM2	0.019	desmin	protein-coding gene	NA	Mesoderm	Smooth muscle
None	FB1	Myofibroblasts	NA	0.0	NA	NA	NA	Mesoderm	Smooth muscle
Mm Hs	PALLD	Myofibroblasts	KIAA0992|SIH002|CGI-151	0.048	palladin, cytoskeletal associated protein	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	ACTA2	Myofibroblasts	ACTSA	0.034	actin, alpha 2, smooth muscle, aorta	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	GFAP	Myofibroblasts	FLJ45472	0.014	glial fibrillary acidic protein	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	TNS1	Myofibroblasts	DKFZp586K0617|PPP1R155|TNS|MXRA6	0.051	tensin 1	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	CD3D	Nave T Cell	T3D	0.042	CD3d molecule	protein-coding gene	NA	Mesoderm	Immune system
Mm Hs	CD4	Nave T Cell	NA	0.006	CD4 molecule	protein-coding gene	NA	Mesoderm	Immune system
Mm Hs	SELL	Nave T Cell	LSEL|LAM1|LAM-1|hLHRc|Leu-8|Lyam-1|PLNHR|CD62L|LYAM1|LNHR	0.033	selectin L	protein-coding gene	NA	Mesoderm	Immune system
Mm Hs	CCR7	Nave T Cell	BLR2|CDw197|CD197|CMKBR7|EBI1	0.011	C-C motif chemokine receptor 7	protein-coding gene	NA	Mesoderm	Immune system
Mm Hs	SOX1	Neural stem/precursor cells	NA	0.002	SRY-box 1	protein-coding gene	1	Ectoderm	Brain
Mm Hs	PROM1	Neural stem/precursor cells	AC133|CD133|RP41|CORD12|PROML1|STGD4	0.023	prominin 1	protein-coding gene	1	Ectoderm	Brain
Mm Hs	IGF1R	Neural stem/precursor cells	JTK13|CD221|IGFIR|MGC18216|IGFR	0.076	insulin like growth factor 1 receptor	protein-coding gene	1	Ectoderm	Brain
Mm Hs	SP8	Neural stem/precursor cells	NA	0.004	Sp8 transcription factor	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	GFAP	Neural stem/precursor cells	FLJ45472	0.014	glial fibrillary acidic protein	protein-coding gene	1	Ectoderm	Brain
Mm Hs	RBM3	Neural stem/precursor cells	IS1-RNPL	0.12	RNA binding motif protein 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SOX3	Neural stem/precursor cells	PHP	0.002	SRY-box 3	protein-coding gene	1	Ectoderm	Brain
Mm Hs	S100B	Neural stem/precursor cells	S100beta	0.069	S100 calcium binding protein B	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SLC1A3	Neural stem/precursor cells	EAAT1|GLAST|EA6	0.084	solute carrier family 1 member 3	protein-coding gene	1	Ectoderm	Brain
Mm Hs	NEUROD4	Neural stem/precursor cells	Atoh3|ATH-3|MATH-3|bHLHa4	0.008	neuronal differentiation 4	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NEUROG1	Neural stem/precursor cells	AKA|Math4C|ngn1|bHLHa6|NEUROD3	0.001	neurogenin 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NEUROG2	Neural stem/precursor cells	Atoh4|Math4A|ngn-2|bHLHa8|NGN2	0.021	neurogenin 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NHLH1	Neural stem/precursor cells	NSCL|NSCL1|bHLHa35	0.002	nescient helix-loop-helix 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PPP1R17	Neural stem/precursor cells	GSBS|C7orf16	0.002	protein phosphatase 1 regulatory subunit 17	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TMTC4	Neural stem/precursor cells	FLJ14624|FLJ22153	0.007	transmembrane and tetratricopeptide repeat containing 4	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	EOMES	Neural stem/precursor cells	TBR2	0.025	eomesodermin	protein-coding gene	1	Ectoderm	Brain
Mm Hs	PLEKHH2	Neural stem/precursor cells	KIAA2028|PLEKHH1L	0.003	pleckstrin homology, MyTH4 and FERM domain containing H2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TLR3	Neural stem/precursor cells	CD283	0.004	toll like receptor 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PARP12	Neural stem/precursor cells	FLJ22693|PARP-12|ZC3H1|ZC3HDC1	0.005	poly(ADP-ribose) polymerase family member 12	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	P2RX7	Neural stem/precursor cells	P2X7|MGC20089	0.005	purinergic receptor P2X 7	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	INAFM2	Neural stem/precursor cells	OGU1|LINC00984	0.007	InaF motif containing 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ISG15	Neural stem/precursor cells	IFI15|G1P2	0.053	ISG15 ubiquitin-like modifier	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	IGFBP3	Neural stem/precursor cells	IBP3|BP-53	0.032	insulin like growth factor binding protein 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	IFIT1	Neural stem/precursor cells	GARG-16|G10P1|IFI56|IFNAI1	0.012	interferon induced protein with tetratricopeptide repeats 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	IFI44	Neural stem/precursor cells	MTAP44|TLDC5	0.008	interferon induced protein 44	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	MGAT5	Neural stem/precursor cells	GNT-V|MGAT5A	0.046	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PBK	Neural stem/precursor cells	TOPK|FLJ14385|Nori-3|CT84	0.063	PDZ binding kinase	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	DLX2	Neural stem/precursor cells	TES-1	0.038	distal-less homeobox 2	protein-coding gene	1	Ectoderm	Brain
Mm Hs	CBX3	Neural stem/precursor cells	HP1Hs-gamma	0.114	chromobox 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	RND3	Neural stem/precursor cells	RhoE|Rho8|ARHE	0.043	Rho family GTPase 3	protein-coding gene	1	Ectoderm	Brain
Mm Hs	DLX5	Neural stem/precursor cells	NA	0.022	distal-less homeobox 5	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SP9	Neural stem/precursor cells	ZNF990	0.025	Sp9 transcription factor	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	POU3F4	Neural stem/precursor cells	BRN4|OTF9|DFNX2|DFN3	0.004	POU class 3 homeobox 4	protein-coding gene	1	Ectoderm	Brain
Mm	DYNLT1C	Neural stem/precursor cells	NA	0.008	dynein light chain Tctex-type 1C	protein coding gene	1	Ectoderm	Brain
Mm Hs	BARHL2	Neural stem/precursor cells	NA	0.005	BarH like homeobox 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	LHX9	Neural stem/precursor cells	NA	0.004	LIM homeobox 9	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SHOX2	Neural stem/precursor cells	SHOT|OG12X|OG12	0.005	short stature homeobox 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	DBX1	Neural stem/precursor cells	NA	0.0	developing brain homeobox 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	DLL3	Neural stem/precursor cells	SCDO1	0.011	delta like canonical Notch ligand 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PITX2	Neural stem/precursor cells	IGDS|Brx1|Otlx2|IRID2|IHG2|RIEG|RIEG1|RGS	0.01	paired like homeodomain 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	OTX1	Neural stem/precursor cells	NA	0.0	orthodenticle homeobox 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ARX	Neural stem/precursor cells	ISSX|CT121|EIEE1|MRXS1|PRTS|MRX76|MRX54|MRX43|MRX36|MRX29|MRX32|MRX33|MRX38|MRX87	0.022	aristaless related homeobox	protein-coding gene	1	Ectoderm	Brain
Mm Hs	NXPH1	Neural stem/precursor cells	NA	0.023	neurexophilin 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TOX3	Neural stem/precursor cells	CAGF9|TNRC9	0.019	TOX high mobility group box family member 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SLN	Neuroblasts	MGC12301|MGC125854|MGC125855	0.004	sarcolipin	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	DYNC1I1	Neuroblasts	DNCIC1|DNCI1	0.027	dynein cytoplasmic 1 intermediate chain 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SORL1	Neuroblasts	gp250|LR11|SorLA|SorLA-1|C11orf32	0.036	sortilin related receptor 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ASPH	Neuroblasts	CASQ2BP1|BAH|JCTN|HAAH	0.058	aspartate beta-hydroxylase	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CBLN1	Neuroblasts	NA	0.004	cerebellin 1 precursor	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	FNDC5	Neuroblasts	FRCP2	0.016	fibronectin type III domain containing 5	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PSD3	Neuroblasts	KIAA0942|HCA67|EFA6R|DKFZp761K1423|EFA6D	0.025	pleckstrin and Sec7 domain containing 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PFKP	Neuroblasts	PFK-C|PFKF	0.064	phosphofructokinase, platelet	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	FBXW7	Neuroblasts	AGO|FLJ11071|SEL-10|SEL10|FBW7|CDC4|FBXW6	0.043	F-box and WD repeat domain containing 7	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NEGR1	Neuroblasts	KILON|MGC46680|Ntra|IGLON4	0.031	neuronal growth regulator 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	RGS7BP	Neuroblasts	R7BP	0.04	regulator of G protein signaling 7 binding protein	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	GPR162	Neuroblasts	A-2|GRCA	0.022	G protein-coupled receptor 162	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	MGAT5	Neuroblasts	GNT-V|MGAT5A	0.046	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SYT7	Neuroblasts	IPCA-7|SYT-VII|MGC150517|PCANAP7	0.026	synaptotagmin 7	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ADARB1	Neuroblasts	ADAR2|DRADA2|ADAR2g|DRABA2|RED1|hRED1|ADAR2a-L1|ADAR2a-L2|ADAR2a-L3|ADAR2a|ADAR2b|ADAR2c|ADAR2d	0.014	adenosine deaminase, RNA specific B1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SLC6A17	Neuroblasts	NA	0.026	solute carrier family 6 member 17	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	AKAP7	Neuroblasts	AKAP18|AKAP15	0.022	A-kinase anchoring protein 7	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PACSIN1	Neuroblasts	SDPI	0.043	protein kinase C and casein kinase substrate in neurons 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NTNG1	Neuroblasts	KIAA0976|Lmnt1	0.014	netrin G1	protein-coding gene	NA	Ectoderm	Brain
None	GUCY1B3	Neuroblasts	NA	0.047	NA	NA	NA	Ectoderm	Brain
Mm Hs	SLC17A7	Neuroblasts	BNPI|VGLUT1	0.015	solute carrier family 17 member 7	protein-coding gene	NA	Ectoderm	Brain
Mm	DOC2G	Neuroblasts	NA	0.001	double C2, gamma	protein coding gene	NA	Ectoderm	Brain
Mm Hs	CTXN3	Neuroblasts	NA	0.004	cortexin 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PKIB	Neuroblasts	PRKACN2	0.034	cAMP-dependent protein kinase inhibitor beta	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NOL4	Neuroblasts	NOLP|HRIHFB2255|CT125	0.014	nucleolar protein 4	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SMARCD1	Neuroblasts	BAF60A|CRACD1	0.029	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TSHZ1	Neuroblasts	NY-CO-33|SDCCAG33	0.014	teashirt zinc finger homeobox 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PBX3	Neuroblasts	NA	0.006	PBX homeobox 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ETV1	Neuroblasts	ER81	0.041	ETS variant 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	DLX6	Neuroblasts	NA	0.022	distal-less homeobox 6	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TIAM2	Neuroblasts	STEF	0.005	T cell lymphoma invasion and metastasis 2	protein-coding gene	NA	Ectoderm	Brain
Mm	ZFP704	Neuroblasts	NA	0.023	zinc finger protein 704	protein coding gene	NA	Ectoderm	Brain
Mm Hs	SP9	Neuroblasts	ZNF990	0.025	Sp9 transcription factor	protein-coding gene	NA	Ectoderm	Brain
Mm	DLX6OS1	Neuroblasts	NA	0.03	distal-less homeobox 6, opposite strand 1	antisense lncRNA gene	NA	Ectoderm	Brain
Mm Hs	SP8	Neuroblasts	NA	0.004	Sp8 transcription factor	protein-coding gene	1	Ectoderm	Brain
Mm Hs	NLGN1	Neuroblasts	KIAA1070	0.019	neuroligin 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NRGN	Neuroblasts	NA	0.034	neurogranin	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	FAM81A	Neuroblasts	MGC26690	0.033	family with sequence similarity 81 member A	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SPOCK3	Neuroblasts	testican-3	0.038	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	DLGAP1	Neuroblasts	GKAP|SAPAP1|DAP-1	0.039	DLG associated protein 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PROK2	Neuroblasts	PK2|BV8|MIT1|KAL4	0.003	prokineticin 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PHACTR3	Neuroblasts	PPP1R123|C20orf101	0.029	phosphatase and actin regulator 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PCP4L1	Neuroblasts	IQM1	0.048	Purkinje cell protein 4 like 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	INHBA	Neuroblasts	NA	0.012	inhibin subunit beta A	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	GNG4	Neuroblasts	NA	0.015	G protein subunit gamma 4	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	KCNIP2	Neuroblasts	KCHIP2	0.009	potassium voltage-gated channel interacting protein 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CARTPT	Neuroblasts	CART	0.009	CART prepropeptide	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ASCL1	Neuroblasts	HASH1|bHLHa46	0.007	achaete-scute family bHLH transcription factor 1	protein-coding gene	1	Ectoderm	Brain
Mm Hs	MXD3	Neuroblasts	MAD3|bHLHc13	0.016	MAX dimerization protein 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	DLL3	Neuroblasts	SCDO1	0.011	delta like canonical Notch ligand 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SOX21	Neuroblasts	SOX25	0.004	SRY-box 21	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SALL3	Neuroblasts	ZNF796	0.007	spalt like transcription factor 3	protein-coding gene	1	Ectoderm	Brain
Mm Hs	NR2E1	Neuroblasts	TLL|XTLL	0.005	nuclear receptor subfamily 2 group E member 1	protein-coding gene	NA	Ectoderm	Brain
Mm	PEG12	Neuroblasts	NA	0.011	paternally expressed 12	protein coding gene	NA	Ectoderm	Brain
Mm Hs	SKP2	Neuroblasts	FBXL1|FBL1	0.011	S-phase kinase associated protein 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	DCLK2	Neuroblasts	MGC45428|DCDC3|DCDC3B|DCK2|DCAMKL2	0.011	doublecortin like kinase 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NKX2-1	Neuroblasts	TTF-1|TTF1|NKX2A|BCH|TITF1	0.006	NK2 homeobox 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SOX6	Neuroblasts	NA	0.018	SRY-box 6	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	STRIP1	Neuroblasts	FLJ14743|KIAA1761|FAR11A|FAM40A	0.008	striatin interacting protein 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	DRAXIN	Neuroblasts	FLJ34999|Draxin|Neucrin|C1orf187	0.01	dorsal inhibitory axon guidance protein	protein-coding gene	1	Ectoderm	Brain
Mm Hs	ERBB4	Neuroblasts	ALS19|HER4	0.007	erb-b2 receptor tyrosine kinase 4	protein-coding gene	1	Ectoderm	Brain
Mm Hs	LHX9	Neuroblasts	NA	0.004	LIM homeobox 9	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	GAD1	Neuroblasts	GAD	0.031	glutamate decarboxylase 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	LHX6	Neuroblasts	LHX6.1	0.015	LIM homeobox 6	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TRIM32	Neuroblasts	HT2A|TATIP|BBS11|LGMD2H	0.039	tripartite motif containing 32	protein-coding gene	1	Ectoderm	Brain
Mm Hs	PPP1R1B	Neuroendocrine cells	DARPP-32|FLJ20940	0.027	protein phosphatase 1 regulatory inhibitor subunit 1B	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CLASP2	Neuroendocrine cells	KIAA0627	0.052	cytoplasmic linker associated protein 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	MKL2	Neuroendocrine cells	NA	0.031	MKL/myocardin-like 2	protein coding gene	NA	Ectoderm	Brain
Mm Hs	FXYD7	Neuroendocrine cells	NA	0.029	FXYD domain containing ion transport regulator 7	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	DPF1	Neuroendocrine cells	neuro-d4|NEUD4|BAF45b	0.019	double PHD fingers 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PENK	Neuroendocrine cells	NA	0.021	proenkephalin	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	GRM5	Neuroendocrine cells	MGLUR5|GPRC1E|mGlu5|PPP1R86	0.03	glutamate metabotropic receptor 5	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SFXN5	Neuroendocrine cells	BBG-TCC|SLC56A5	0.021	sideroflexin 5	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TAC1	Neuroendocrine cells	NPK|TAC2|NKNA	0.012	tachykinin precursor 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CCDC85C	Neuroendocrine cells	NA	0.004	coiled-coil domain containing 85C	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ATXN1	Neuroendocrine cells	D6S504E|ATX1|SCA1	0.03	ataxin 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	GPR88	Neuroendocrine cells	NA	0.006	G protein-coupled receptor 88	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PDE10A	Neuroendocrine cells	NA	0.022	phosphodiesterase 10A	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SST	Neuroendocrine cells	SMST	0.018	somatostatin	protein-coding gene	1	Ectoderm	Brain
Mm Hs	CXCL14	Neuroendocrine cells	BRAK|NJAC|bolekine|Kec|MIP-2g|BMAC|SCYB14	0.049	C-X-C motif chemokine ligand 14	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NPY	Neuroendocrine cells	PYY4	0.015	neuropeptide Y	protein-coding gene	1	Ectoderm	Brain
Mm Hs	NRGN	Neuroendocrine cells	NA	0.034	neurogranin	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SCN2B	Neuroendocrine cells	NA	0.03	sodium voltage-gated channel beta subunit 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ABHD2	Neuroendocrine cells	LABH2	0.053	abhydrolase domain containing 2	protein-coding gene	NA	Ectoderm	Brain
